date,hour,trading_MW,net_aFRR,restore_MW,imbalance_MWh,SOC_start_MWh,SOC_end_MWh,SOC_percent,P_dam,P_idm,P_bm_up,P_bm_down,P_imb_up,P_imb_down,is_feasible,trading_revenue,balancing_revenue,restoration_revenue,imbalance_revenue
2024-08-22,2,0,-10.179921447001277,0,0,31.51935742818884,20.87605868375097,13.91737245583398,5508,5472.27,6600,5508,5232.6,6930,1,-0,67187.48155020842,-0,0
2024-08-22,3,0,-5.620232716836502,0,0,20.87605868375097,15,10,5562.33,5524.25,6600,5562.33,5284.21,6930,1,-0,37093.53593112091,-0,0
2024-08-22,4,0,1.784629387745008,24.11539989450611,0,15,38.172548998595815,25.448365999063878,5562.96,5502.19,6600,5562.96,5284.81,6930,1,-0,-9927.821898849968,-132687.51214555255,0
2024-08-22,5,0,10.400655279321303,0,0,38.172548998595815,47.47793207176235,31.651954714508236,5515,5447.56,6600,5515,5239.25,6930,1,-0,-57359.61386545698,-0,0
2024-08-22,6,0,-17.133382276383667,0,0,47.47793207176235,29.56465965413233,19.709773102754887,5600,5600,6600,5600,5320,6930,1,-0,113080.3230241322,-0,0
2024-08-22,7,0,1.1729362337939564,0,0,29.56465965413233,30.614076319017915,20.40938421267861,6900,6873.79,8250,6900,6555,8662.5,1,-0,-8093.260013178299,-0,0
2024-08-22,8,0,-14.934286278316831,0,0,30.614076319017915,15,10,6900,6887.63,8250,6900,6555,8662.5,1,-0,123207.86179611385,-0,0
2024-08-22,9,0,2.5177122539679755,0,0,15,17.252577011927116,11.50171800795141,6900,6878.4,8250,6900,6555,8662.5,1,-0,-17372.21455237903,-0,0
2024-08-22,10,0,18.77110575558765,0,0,17.252577011927116,34.046935162605344,22.69795677507023,6880.26,6866.24,8250,0,6536.25,8662.5,1,-0,-0,-0,0
2024-08-22,11,35,21.83196879888532,0,0,34.046935162605344,84.89404299121765,56.59602866081177,2500.69,2731.33,8250,0,2375.66,8662.5,1,-87524.15000000001,-0,-0,0
2024-08-22,12,35,18.934950577951422,-3.1873306671932418,0,84.89404299121765,129.8167978193096,86.54453187953975,1498,1729.84,8250,0,1423.1,8662.5,1,-52430,-0,5513.572081337557,0
2024-08-22,13,0,5.793281018149707,0,0,129.8167978193096,135,90,3000,3356.68,8250,3000,2850,8662.5,1,-0,-17379.84305444912,-0,0
2024-08-22,14,0,11.01203586021501,-9.423437302901773,0,135,135,90,5467.53,5456.81,8250,5467.53,5194.15,8662.5,1,-0,-60208.63642680137,51421.90690884743,0
2024-08-22,15,0,-0.6982414579647355,0,0,135,134.26997546380284,89.51331697586856,5400,5456.5,8250,5400,5130,8662.5,1,-0,5760.492028209068,-0,0
2024-08-22,16,0,-25.855194641914565,0,0,134.26997546380284,107.2378846856812,71.49192312378747,5523.73,5541.05,8250,5523.73,5247.54,8662.5,1,-0,213305.35579579516,-0,0
2024-08-22,17,0,-8.701732738761397,-2.8970911118608313,0,107.2378846856812,95.11109687410644,63.40739791607096,9000,8983.67,10000,9000,8550,10500,1,-0,87017.32738761397,26026.510508890795,0
2024-08-22,18,0,-26.689330711124637,0,0,95.11109687410644,67.20690119573243,44.80460079715495,9000,8996.19,10000,9000,8550,10500,1,-0,266893.30711124634,-0,0
2024-08-22,19,0,17.486667560145587,0,0,67.20690119573243,82.85208276845421,55.23472184563614,9000,8991.53,10000,9000,8550,10500,1,-0,-157380.0080413103,-0,0
2024-08-22,20,0,-5.70012480922602,0,0,82.85208276845421,76.8924954041484,51.2616636027656,9000,8999.15,10000,9000,8550,10500,1,-0,57001.248092260204,-0,0
2024-08-22,21,-35,-2.676256767285966,0,0,76.8924954041484,37.5012625312762,25.000841687517465,9000,8997.96,10000,9000,8550,10500,1,315000,26762.56767285966,-0,0
2024-08-22,22,-35,15.853988522260645,0,0,37.5012625312762,15.092542986867123,10.061695324578082,9000,8971.78,10000,9.85,8550,10500,1,315000,-156.16178694426733,-0,0
2024-08-22,23,0,-1.234737857847366,-13.200721085000522,0,15.092542986867123,0,0,6900,6851.9,8249.98,0.01,6555,8662.48,0,-0,10186.562632483612,90450.02080231508,0
2024-08-23,0,0,8.27821007739468,8.942131561229667,0,0,15.406901901344096,10.271267934229396,5587.91,5588.73,6600,9.81,5308.51,6930,1,-0,-81.20924085924182,-49975.158920191076,0
2024-08-23,1,0,-12.120328885215761,23.480746120037658,0,15.406901901344096,23.74290650560996,15.828604337073305,4340,4333.66,6596.84,9.82,4123,6926.68,1,-0,79955.87040314674,-101757.5702305624,0
2024-08-23,2,0,-8.362266585075218,0,0,23.74290650560996,15,10,4830,4822.71,6600,9.82,9.33,5071.5,1,-0,55190.959461496444,-0,0
2024-08-23,3,0,3.8114980119375894,0,0,15,18.410116779296466,12.273411186197643,1750,1745.15,6600,9.82,9.33,1837.5,1,-0,-37.42891047722713,-0,0
2024-08-23,4,0,1.9621936359573786,-4.9407777036755425,0,18.410116779296466,15,10,3140,3134.66,6600,9.82,9.33,3297,1,-0,-19.26874150510146,15487.658236603575,0
2024-08-23,5,0,14.984254327347019,-12.822622717261309,0,15,15,10,4745,4744.14,6600,4305.23,4507.75,6930,1,-0,-64510.6612577242,60832.31733786807,0
2024-08-23,6,0,9.305358151011188,0,0,15,23.3254294948445,15.550286329896332,5583.77,5583.78,6600,9.82,5304.58,6930,1,-0,-91.37861704292986,-0,0
2024-08-23,7,0,22.033365682760742,0,0,23.3254294948445,43.03850550428507,28.69233700285671,3033,3149.07,8250,3033,2881.35,8662.5,1,-0,-66827.19811581333,-0,0
2024-08-23,8,0,25.697676978841756,0,0,43.03850550428507,66.03001151583896,44.020007677225976,4680,4679.68,8250,4389.7,4446,8662.5,1,-0,-112805.09263402165,-0,0
2024-08-23,9,0,1.415097647611039,-7.05463939656938,0,66.03001151583896,59.920330298110265,39.946886865406846,4700,4691.5,8250,0.01,0.01,4935,1,-0,-0.014150976476110392,33096.84072900525,0
2024-08-23,10,0,17.853595485161875,0,0,59.920330298110265,75.89379934992071,50.595866233280475,4700,4693.75,4700,0.01,0.01,4935,1,-0,-0.17853595485161874,-0,0
2024-08-23,11,35,31.063182246045887,0,0,75.89379934992071,135,90,1120,1134.91,1120,0.01,0.01,1176,1,-39200,-0.3106318224604589,-0,0
2024-08-23,12,35,36.93406966036836,-61.55684598123116,0,135,135,90,950,948.66,950,0.01,0.01,997.5,1,-33250,-0.36934069660368357,58396.51750855475,0
2024-08-23,13,0,-4.945411427560618,0,0,135,129.82947962695826,86.55298641797216,1800,1798.57,1800,0.01,0.01,1890,1,-0,8901.740569609112,-0,0
2024-08-23,14,0,-13.481071008706552,-26.388542703504402,0,129.82947962695826,88.1450509431399,58.763367295426605,4150,4132.83,4150,0.01,0.01,4357.5,1,-0,55946.44468613219,109059.36094132409,0
2024-08-23,15,0,24.944878176803385,0,0,88.1450509431399,110.46303388890048,73.64202259260033,5000,4947.72,5000,0.01,0.01,5250,1,-0,-0.24944878176803387,-0,0
2024-08-23,16,0,2.7835690767523875,0,0,110.46303388890048,112.95347087331822,75.30231391554548,5100,5093.23,5100,0.01,0.01,5355,1,-0,-0.027835690767523874,-0,0
2024-08-23,17,0,-0.49947288734139833,-35,0,112.95347087331822,75.8381063612133,50.5587375741422,8000,7931.69,9999.98,0.01,7600,10499.98,1,-0,4994.718883956236,277609.14999999997,0
2024-08-23,18,0,-8.53995907789935,0,0,75.8381063612133,66.90941902265514,44.606279348436765,8450,8474.37,9999.98,0.01,0.01,8872.5,1,-0,85399.41997981194,-0,0
2024-08-23,19,0,8.373906482276244,0,0,66.90941902265514,74.40148616109585,49.600990774063895,8900,8886.32,9999.95,8900,8455,10499.95,1,-0,-74527.76769225857,-0,0
2024-08-23,20,-35,-1.1622686581002168,0,0,74.40148616109585,36.593156243367496,24.395437495578328,8948.71,8944.99,9999.94,8948.71,8501.27,10499.94,1,313204.85,11622.616844882683,-0,0
2024-08-23,21,-35,31.283780744824707,0,0,36.593156243367496,27.989348362148707,18.659565574765804,8952.01,8946.09,9999.96,8952.01,8504.41,10499.96,1,313320.35000000003,-280052.71806547826,-0,0
2024-08-23,22,0,23.487916925303182,-30.16869870272888,0,27.989348362148707,17.461859580795316,11.641239720530212,8600,8486.88,10000,8600,8170,10500,-0,-0,-201996.08555760735,256038.12564621563,0
2024-08-23,23,0,21.38310911751997,-35,0,17.461859580795316,0,0,6700,6661.02,6700,9.82,9.33,7035,-0,-0,-209.98213153404612,233135.7,0
2024-08-24,0,0,8.079320238691167,8.686225893385568,0,0,15,10,3000,2640.05,3000,157.86,149.97,3150,1,-0,-1275.4014928797878,-22932.07066983257,0
2024-08-24,1,0,-20.886976904621797,24.408093489872414,0,15,14.999999999999966,9.999999999999977,4709,4700.42,4709,4.49,4.27,4944.45,1,-0,98356.77424386404,-114728.2908016661,0
2024-08-24,2,0,1.3239526923445282,-0,0,14.999999999999966,16.184529882219078,10.789686588146052,5500,5495.73,5500,0.01,0.01,5775,1,-0,-0.013239526923445282,0,0
