date,hour,net_aFRR,max_aFRR,min_aFRR,trading_MW,restore_MW,imbalance_MWh,is_feasible,SOC_start_MWh,SOC_end_MWh,SOC_percent,P_dam,P_idm,P_bm_up,P_bm_down,P_imb_up,P_imb_down,trading_revenue,balancing_revenue,restoration_revenue,imbalance_revenue
2025-09-16,10,19.430968068728884,19.430968068728884,-4.750354116839796,0,0,0,1,69.66170446155579,87.04643614490297,58.030957429935306,1420,1335.61,7559.13,0.01,0.01,1491,-0,-0.19430968068728885,-0,0
2025-09-16,11,12.332244228829525,12.332244228829525,0.6252522530351313,0,0,0,1,87.04643614490297,98.07999639848292,65.38666426565528,150,142.89,7892.67,0.01,0.01,157.5,-0,-0.12332244228829525,-0,0
2025-09-16,12,18.545240866635897,19.39085127841945,0.5289801560748714,35,0,0,1,98.07999639848292,145.9864950399351,97.3243300266234,47.99,40.42,8071.23,0.01,0.01,50.39,-1679.65,-0.18545240866635898,-0,0
2025-09-16,13,-0.23259731071251,4.895836894070565,-4.115044216976844,35,-22.993247519967554,3.372846509491345,0,145.9864950399351,150,100,70,60.83,7643.61,0.01,0.01,73.5,-2450,1777.8831301352484,1398.6792466396262,247.90421844761386
2025-09-16,14,0.9488458262716866,0.9488458262716866,-8.70621195845084,0,-25,0,1,150,124.71095602473618,83.14063734982412,300,266,7943.04,0.01,0.01,315,-0,-0.009488458262716866,6650,0
2025-09-16,15,-10.036765280765472,0.06938332005380447,-10.87311411512333,0,-12.355478012368089,0,1,124.71095602473618,101.29944581144663,67.53296387429776,1450,1435.67,7900.54,0.01,0.01,1522.5,-0,79295.86557129884,17738.389118016494,0
2025-09-16,16,-21.32616766402182,2.385454365030976,-21.670578999155328,0,-0.6497229057233156,0,1,101.29944581144663,78.32324017699435,52.215493451329564,3088,3457.8,7852.19,1.43,2933.6,8662.4,-0,167457.1204697555,2246.611863410081,0
2025-09-16,17,-7.9790134022597385,8.051281071193143,-8.01989802208974,0,0,0,1,78.32324017699435,69.98103205994252,46.65402137329501,5370,5533.85,15226.61,4.84,5101.5,16799.94,-0,121493.32526098216,-0,0
2025-09-16,18,-8.78309457071146,1.8425907592088426,-8.78309457071146,0,0,0,1,69.98103205994252,60.79814200490489,40.5320946699366,8800,8824.81,15999.91,449.87,8360,16799.91,-0,140528.722652872,-0,0
2025-09-16,19,5.7329418092273725,12.755482110211103,0.23019640212436604,-35,0,0,1,60.79814200490489,29.33420293471865,19.556135289812435,11000,10997.34,15999.91,885.47,10450,16799.91,385000,-5076.347983816561,-0,0
2025-09-16,20,25.20959807377085,25.20959807377085,-0.655775719794277,-35,10.332898532640675,0,1,29.33420293471865,24.540634065134697,16.360422710089797,14897.89,14961.4,15999.91,1796.15,14153,16799.91,521426.14999999997,-45280.21958020351,-154594.6281062502,0
2025-09-16,21,27.80074774750682,27.80074774750682,0.20664580309774522,0,12.729682967432652,0,1,24.540634065134697,60.802886182345325,40.535257454896886,11000,10089.78,15146.71,4.78,4.54,11550,-0,-132.8875742330826,-128439.70061114263,0
